Name,Ort,Inhaber,Email,Link
Fahrschule Easy Drivers Linz-Ebelsberg,"Hofmannsthalweg 1, 4030 Linz",,ebelsberg@easydrivers.at,https://www.easydrivers.at/linz-ebelsberg/
Fahrschule Burgstaller,"Alfred-Kubin-Straße 6, 4780 Schärding",Ingrid & Johannes Burgstaller,schaerding@fahrschule-burgstaller.at,https://www.fahrschule-burgstaller.at/
Fahrschule My Friends,"Hostauerstraße 87, 4100 Ottensheim",,info@fahrschule-myfriends.at,https://www.fahrschule-myfriends.at/
Fahrschule Easy Drivers Perg,"Linzer Straße 11, 4320 Perg",,perg@easydrivers.at,https://www.easydrivers.at/perg/
Fahrschule DI Adolf Nefischer,"Dirnbergerstraße 42, 4320 Perg",Adolf Nefischer,a.nefischer@aon.at,http://fahrschule-nefischer.at/
Fahrschule Alkoven,"Hochfeldstraße 1, 4072 Alkoven",Florian Köberl,info@fahrschule-alkoven.at,https://www.fahrschule-alkoven.at/
Fahrschule Pichler,"Veldner Straße 57, 4120 Neufelden",Pichler,neufelden@einfacherzumschein.at,https://www.einfacherzumschein.at/
Fahrschule Burgstaller,"Schwanthalerstraße 2, 4770 Andorf",Ingrid & Johannes Burgstaller,andorf@fahrschule-burgstaller.at,https://www.fahrschule-burgstaller.at/
Fahrschule KURT,"Sparkassenplatz 2, 4210 Gallneukirchen",Kurt Pichler,office@fahrschule-pichler.at,https://www.einfacherzumschein.at/
Fahrschule Aschauer,"Doktor-Groß-Straße 34, 4600 Wels",Reinhard Aschauer,office@fahrschule-aschauer.at,https://fahrschule-aschauer.at/
Fahrschule DI Adolf Nefischer,"Dirnbergerstraße 42, 4320 Perg",Adolf Nefischer,a.nefischer@aon.at,http://fahrschule-nefischer.at/
